ra	 rp	 va	 vomega
1430.0	 10.0	 62220.626575	 104.244343
1440.0	 10.0	 61790.028830	 104.241829
1450.0	 10.0	 61365.350060	 104.239350
1460.0	 10.0	 60946.469054	 104.236905
1470.0	 10.0	 60533.267890	 104.234493
1480.0	 10.0	 60125.631819	 104.232113
1490.0	 10.0	 59723.449166	 104.229766
1500.0	 10.0	 59326.611222	 104.227450
1510.0	 10.0	 58935.012149	 104.225164
1520.0	 10.0	 58548.548885	 104.222909
1530.0	 10.0	 58167.121053	 104.220682
1540.0	 10.0	 57790.630877	 104.218485
1550.0	 10.0	 57418.983094	 104.216316
1560.0	 10.0	 57052.084876	 104.214175
1570.0	 10.0	 56689.845754	 104.212061
1580.0	 10.0	 56332.177542	 104.209974
1590.0	 10.0	 55978.994263	 104.207913
1600.0	 10.0	 55630.212087	 104.205877
1610.0	 10.0	 55285.749258	 104.203867
1620.0	 10.0	 54945.526031	 104.201882
1630.0	 10.0	 54609.464616	 104.199921
1640.0	 10.0	 54277.489110	 104.197984
1650.0	 10.0	 53949.525448	 104.196070
1660.0	 10.0	 53625.501344	 104.194179
1670.0	 10.0	 53305.346235	 104.192311
1680.0	 10.0	 52988.991238	 104.190466
1690.0	 10.0	 52676.369093	 104.188642
1700.0	 10.0	 52367.414116	 104.186839
1710.0	 10.0	 52062.062160	 104.185057
1720.0	 10.0	 51760.250561	 104.183297
1730.0	 10.0	 51461.918101	 104.181556
1740.0	 10.0	 51167.004968	 104.179836
1750.0	 10.0	 50875.452709	 104.178135
1760.0	 10.0	 50587.204198	 104.176453
1770.0	 10.0	 50302.203596	 104.174790
1780.0	 10.0	 50020.396317	 104.173146
1790.0	 10.0	 49741.728988	 104.171521
1800.0	 10.0	 49466.149422	 104.169913
1810.0	 10.0	 49193.606579	 104.168323
1820.0	 10.0	 48924.050542	 104.166751
1830.0	 10.0	 48657.432478	 104.165196
1840.0	 10.0	 48393.704614	 104.163657
1850.0	 10.0	 48132.820209	 104.162136
1860.0	 10.0	 47874.733522	 104.160630
1870.0	 10.0	 47619.399790	 104.159141
1880.0	 10.0	 47366.775197	 104.157667
1890.0	 10.0	 47116.816855	 104.156209
1900.0	 10.0	 46869.482774	 104.154767
1910.0	 10.0	 46624.731844	 104.153339
1920.0	 10.0	 46382.523807	 104.151926
1930.0	 10.0	 46142.819237	 104.150528
1940.0	 10.0	 45905.579520	 104.149145
1950.0	 10.0	 45670.766831	 104.147775
1960.0	 10.0	 45438.344117	 104.146420
1970.0	 10.0	 45208.275074	 104.145078
1980.0	 10.0	 44980.524129	 104.143750
1990.0	 10.0	 44755.056422	 104.142435
2000.0	 10.0	 44531.837792	 104.141133
2010.0	 10.0	 44310.834751	 104.139844
2020.0	 10.0	 44092.014477	 104.138568
2030.0	 10.0	 43875.344790	 104.137304
2040.0	 10.0	 43660.794141	 104.136053
2050.0	 10.0	 43448.331595	 104.134814
2060.0	 10.0	 43237.926815	 104.133587
2070.0	 10.0	 43029.550051	 104.132372
2080.0	 10.0	 42823.172123	 104.131169
2090.0	 10.0	 42618.764406	 104.129977
2100.0	 10.0	 42416.298822	 104.128796
2110.0	 10.0	 42215.747823	 104.127627
2120.0	 10.0	 42017.084377	 104.126468
2130.0	 10.0	 41820.281963	 104.125321
2140.0	 10.0	 41625.314552	 104.124184
2150.0	 10.0	 41432.156598	 104.123058
2160.0	 10.0	 41240.783027	 104.121942
2170.0	 10.0	 41051.169227	 104.120836
2180.0	 10.0	 40863.291036	 104.119741
2190.0	 10.0	 40677.124733	 104.118655
2200.0	 10.0	 40492.647026	 104.117580
2210.0	 10.0	 40309.835045	 104.116514
2220.0	 10.0	 40128.666330	 104.115457
2230.0	 10.0	 39949.118824	 104.114411
2240.0	 10.0	 39771.170862	 104.113373
2250.0	 10.0	 39594.801164	 104.112345
2260.0	 10.0	 39419.988827	 104.111326
2270.0	 10.0	 39246.713312	 104.110315
2280.0	 10.0	 39074.954442	 104.109314
2290.0	 10.0	 38904.692393	 104.108321
2300.0	 10.0	 38735.907682	 104.107337
2310.0	 10.0	 38568.581165	 104.106362
2320.0	 10.0	 38402.694025	 104.105395
2330.0	 10.0	 38238.227770	 104.104436
2340.0	 10.0	 38075.164222	 104.103485
2350.0	 10.0	 37913.485512	 104.102543
2360.0	 10.0	 37753.174073	 104.101608
2370.0	 10.0	 37594.212634	 104.100682
2380.0	 10.0	 37436.584214	 104.099763
2390.0	 10.0	 37280.272115	 104.098851
2400.0	 10.0	 37125.259917	 104.097948
2410.0	 10.0	 36971.531473	 104.097052
2420.0	 10.0	 36819.070900	 104.096163
2430.0	 10.0	 36667.862577	 104.095281
2440.0	 10.0	 36517.891141	 104.094407
2450.0	 10.0	 36369.141475	 104.093540
2460.0	 10.0	 36221.598711	 104.092680
2470.0	 10.0	 36075.248218	 104.091827
2480.0	 10.0	 35930.075604	 104.090981
2490.0	 10.0	 35786.066706	 104.090141
2500.0	 10.0	 35643.207586	 104.089309
2510.0	 10.0	 35501.484529	 104.088482
2520.0	 10.0	 35360.884038	 104.087663
2530.0	 10.0	 35221.392828	 104.086850
2540.0	 10.0	 35082.997821	 104.086043
2550.0	 10.0	 34945.686149	 104.085243
2560.0	 10.0	 34809.445138	 104.084449
2570.0	 10.0	 34674.262316	 104.083661
2580.0	 10.0	 34540.125402	 104.082879
2590.0	 10.0	 34407.022304	 104.082103
2600.0	 10.0	 34274.941117	 104.081333
2610.0	 10.0	 34143.870116	 104.080569
2620.0	 10.0	 34013.797757	 104.079811
2630.0	 10.0	 33884.712670	 104.079059
2640.0	 10.0	 33756.603657	 104.078312
2650.0	 10.0	 33629.459689	 104.077571
2660.0	 10.0	 33503.269901	 104.076836
2670.0	 10.0	 33378.023594	 104.076106
2680.0	 10.0	 33253.710225	 104.075381
2690.0	 10.0	 33130.319409	 104.074662
2700.0	 10.0	 33007.840915	 104.073948
2710.0	 10.0	 32886.264660	 104.073240
2720.0	 10.0	 32765.580713	 104.072536
2730.0	 10.0	 32645.779286	 104.071838
2740.0	 10.0	 32526.850733	 104.071145
2750.0	 10.0	 32408.785549	 104.070457
2760.0	 10.0	 32291.574367	 104.069774
2770.0	 10.0	 32175.207955	 104.069096
2780.0	 10.0	 32059.677212	 104.068422
2790.0	 10.0	 31944.973170	 104.067754
2800.0	 10.0	 31831.086985	 104.067090
2810.0	 10.0	 31718.009942	 104.066431
2820.0	 10.0	 31605.733448	 104.065777
2830.0	 10.0	 31494.249032	 104.065127
2840.0	 10.0	 31383.548341	 104.064482
2850.0	 10.0	 31273.623141	 104.063842
2860.0	 10.0	 31164.465310	 104.063205
2870.0	 10.0	 31056.066841	 104.062574
2880.0	 10.0	 30948.419839	 104.061946
2890.0	 10.0	 30841.516514	 104.061323
2900.0	 10.0	 30735.349189	 104.060705
2910.0	 10.0	 30629.910288	 104.060090
2920.0	 10.0	 30525.192339	 104.059480
2930.0	 10.0	 30421.187974	 104.058874
2940.0	 10.0	 30317.889924	 104.058272
2950.0	 10.0	 30215.291017	 104.057674
2960.0	 10.0	 30113.384181	 104.057080
2970.0	 10.0	 30012.162435	 104.056491
2980.0	 10.0	 29911.618895	 104.055905
2990.0	 10.0	 29811.746766	 104.055323
3000.0	 10.0	 29712.539347	 104.054745
3010.0	 10.0	 29613.990023	 104.054170
3020.0	 10.0	 29516.092268	 104.053600
3030.0	 10.0	 29418.839640	 104.053033
3040.0	 10.0	 29322.225784	 104.052470
3050.0	 10.0	 29226.244427	 104.051911
3060.0	 10.0	 29130.889379	 104.051355
3070.0	 10.0	 29036.154529	 104.050803
3080.0	 10.0	 28942.033845	 104.050255
3090.0	 10.0	 28848.521375	 104.049710
3100.0	 10.0	 28755.611242	 104.049169
3110.0	 10.0	 28663.297645	 104.048631
3120.0	 10.0	 28571.574857	 104.048096
3130.0	 10.0	 28480.437225	 104.047565
3140.0	 10.0	 28389.879167	 104.047038
3150.0	 10.0	 28299.895171	 104.046513
3160.0	 10.0	 28210.479797	 104.045992
3170.0	 10.0	 28121.627672	 104.045475
3180.0	 10.0	 28033.333489	 104.044960
3190.0	 10.0	 27945.592011	 104.044449
3200.0	 10.0	 27858.398064	 104.043941
3210.0	 10.0	 27771.746538	 104.043436
3220.0	 10.0	 27685.632388	 104.042934
3230.0	 10.0	 27600.050630	 104.042436
3240.0	 10.0	 27514.996343	 104.041940
3250.0	 10.0	 27430.464664	 104.041448
3260.0	 10.0	 27346.450793	 104.040958
3270.0	 10.0	 27262.949985	 104.040472
3280.0	 10.0	 27179.957555	 104.039988
3290.0	 10.0	 27097.468874	 104.039508
3300.0	 10.0	 27015.479370	 104.039030
3310.0	 10.0	 26933.984526	 104.038555
3320.0	 10.0	 26852.979878	 104.038083
3330.0	 10.0	 26772.461016	 104.037614
3340.0	 10.0	 26692.423584	 104.037148
3350.0	 10.0	 26612.863277	 104.036684
3360.0	 10.0	 26533.775842	 104.036223
3370.0	 10.0	 26455.157074	 104.035765
3380.0	 10.0	 26377.002820	 104.035310
3390.0	 10.0	 26299.308976	 104.034858
3400.0	 10.0	 26222.071485	 104.034408
3410.0	 10.0	 26145.286337	 104.033960
3420.0	 10.0	 26068.949572	 104.033515
3430.0	 10.0	 25993.057273	 104.033073
3440.0	 10.0	 25917.605568	 104.032634
3450.0	 10.0	 25842.590634	 104.032197
3460.0	 10.0	 25768.008687	 104.031762
3470.0	 10.0	 25693.855990	 104.031330
3480.0	 10.0	 25620.128848	 104.030901
3490.0	 10.0	 25546.823608	 104.030474
3500.0	 10.0	 25473.936659	 104.030049
3510.0	 10.0	 25401.464431	 104.029627
3520.0	 10.0	 25329.403394	 104.029207
3530.0	 10.0	 25257.750058	 104.028790
3540.0	 10.0	 25186.500974	 104.028375
